[2026-05-06 17:28:36.921083+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:37.138795+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:37.527096+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:37.633297+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:37.885378+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:38.226588+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:38.350384+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:38.600124+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:45.709980+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:52.181568+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:29:00.545947+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:31:04.350257+00:00] User: ali | Method: POST | Path: /admin/accounts/user/ | Status: 200
[2026-05-06 17:31:05.757956+00:00] User: ali | Method: POST | Path: /admin/accounts/user/ | Status: 302
[2026-05-07 12:17:39.340376+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-07 12:17:41.363300+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-07 12:22:25.473945+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 201
[2026-05-07 12:39:44.337241+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-07 12:40:47.157711+00:00] User: aliox | Method: POST | Path: /api/reservations/28/annuler/ | Status: 200
[2026-05-07 12:41:15.032968+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-07 12:41:40.438781+00:00] User: khalil | Method: POST | Path: /api/reservations/29/confirmer/ | Status: 200
[2026-05-07 12:43:01.678249+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/29/change/ | Status: 302
[2026-05-07 12:43:45.400470+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 201
[2026-05-07 12:44:24.027974+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/29/delete/ | Status: 302
[2026-05-07 18:17:01.862442+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-07 18:17:18.740811+00:00] User: khalil | Method: POST | Path: /api/reservations/30/confirmer/ | Status: 200
